Country,Region,Happiness_Rank,Happiness_Score,GDP_Per_Capita,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Trust_On_Government,Generosity,Social_support
Finland,Western Europe,1,7.769000053,1.340000033,0.986000001,0.596000016,0.393000007,0.152999997,1.587000012
Denmark,Western Europe,2,7.599999905,1.383000016,0.995999992,0.592000008,0.409999996,0.252000004,1.572999954
Norway,Western Europe,3,7.553999901,1.488000035,1.027999997,0.602999985,0.340999991,0.270999998,1.582000017
Iceland,Western Europe,4,7.493999958,1.379999995,1.026000023,0.591000021,0.118000001,0.354000002,1.623999953
Netherlands,Western Europe,5,7.487999916,1.396000028,0.999000013,0.556999981,0.298000008,0.321999997,1.521999955
Switzerland,Western Europe,6,7.480000019,1.452000022,1.052000046,0.572000027,0.342999995,0.263000011,1.526000023
Sweden,Western Europe,7,7.342999935,1.386999965,1.008999944,0.574000001,0.372999996,0.26699999,1.486999989
New Zealand,Australia and New Zealand,8,7.30700016,1.302999973,1.026000023,0.584999979,0.379999995,0.330000013,1.557000041
Canada,North America,9,7.277999878,1.36500001,1.039000034,0.583999991,0.307999998,0.284999996,1.504999995
Austria,Western Europe,10,7.245999813,1.376000047,1.016000032,0.532000005,0.225999996,0.244000003,1.475000024
Australia,Australia and New Zealand,11,7.228000164,1.371999979,1.036000013,0.556999981,0.289999992,0.331999987,1.547999978
Costa Rica,Latin America and Caribbean,12,7.166999817,1.034000039,0.963,0.558000028,0.093000002,0.143999994,1.440999985
Israel,Middle East and Northern Africa,13,7.138999939,1.276000023,1.029000044,0.370999992,0.082000002,0.261000007,1.455000043
Luxembourg,Western Europe,14,7.090000153,1.608999968,1.011999965,0.526000023,0.316000015,0.194000006,1.478999972
United Kingdom,Western Europe,15,7.053999901,1.332999945,0.995999992,0.449999988,0.277999997,0.34799999,1.537999988
Ireland,Western Europe,16,7.020999908,1.498999953,0.999000013,0.515999973,0.310000002,0.298000008,1.552999973
Germany,Western Europe,17,6.985000134,1.373000026,0.986999989,0.495000005,0.264999986,0.261000007,1.453999996
Belgium,Western Europe,18,6.922999859,1.355999947,0.986000001,0.47299999,0.209999993,0.159999996,1.503999949
United States,North America,19,6.892000198,1.432999969,0.874000013,0.453999996,0.128000006,0.280000001,1.457000017
Czech Republic,Central and Eastern Europe,20,6.852000237,1.269000053,0.920000017,0.456999987,0.035999998,0.046,1.486999989
United Arab Emirates,Middle East and Northern Africa,21,6.824999809,1.503000021,0.824999988,0.59799999,0.181999996,0.261999995,1.309999943
Malta,Western Europe,22,6.725999832,1.299999952,0.999000013,0.56400001,0.150999993,0.375,1.519999981
Mexico,Latin America and Caribbean,23,6.59499979,1.070000052,0.861000001,0.432999998,0.072999999,0.074000001,1.322999954
France,Western Europe,24,6.592000008,1.324000001,1.044999957,0.43599999,0.182999998,0.111000001,1.472000003
Taiwan,Eastern Asia,25,6.446000099,1.368000031,0.913999975,0.351000011,0.097000003,0.241999999,1.429999948
Chile,Latin America and Caribbean,26,6.443999767,1.159000039,0.920000017,0.356999993,0.056000002,0.187000006,1.368999958
Guatemala,Latin America and Caribbean,27,6.43599987,0.800000012,0.745999992,0.535000026,0.078000002,0.174999997,1.269000053
Saudi Arabia,Middle East and Northern Africa,28,6.375,1.402999997,0.795000017,0.43900001,0.131999999,0.079999998,1.356999993
Qatar,Middle East and Northern Africa,29,6.374000072,1.684000015,0.870999992,0.555000007,0.166999996,0.219999999,1.312999964
Spain,Western Europe,30,6.354000092,1.286000013,1.062000036,0.361999989,0.079000004,0.152999997,1.483999968
Panama,Latin America and Caribbean,31,6.321000099,1.149000049,0.910000026,0.515999973,0.054000001,0.108999997,1.442000031
Brazil,Latin America and Caribbean,32,6.300000191,1.003999949,0.801999986,0.389999986,0.086000003,0.098999999,1.43900001
Uruguay,Latin America and Caribbean,33,6.293000221,1.123999953,0.890999973,0.523000002,0.150000006,0.127000004,1.465000033
Singapore,Southeastern Asia,34,6.262000084,1.572000027,1.141000032,0.555999994,0.453000009,0.270999998,1.463000059
El Salvador,Latin America and Caribbean,35,6.252999783,0.79400003,0.788999975,0.430000007,0.074000001,0.093000002,1.241999984
Italy,Western Europe,36,6.22300005,1.29400003,1.039000034,0.231000006,0.029999999,0.158000007,1.488000035
Bahrain,Middle East and Northern Africa,37,6.198999882,1.361999989,0.870999992,0.536000013,0.109999999,0.254999995,1.368000031
Slovakia,Central and Eastern Europe,38,6.197999954,1.246000051,0.880999982,0.333999991,0.014,0.120999999,1.503999949
Trinidad & Tobago,UNKNOWN,39,6.191999912,1.230999947,0.713,0.488999993,0.016000001,0.185000002,1.476999998
Poland,Central and Eastern Europe,40,6.18200016,1.20599997,0.884000003,0.48300001,0.050000001,0.116999999,1.437999964
Uzbekistan,Central and Eastern Europe,41,6.173999786,0.745000005,0.755999982,0.630999982,0.239999995,0.321999997,1.529000044
Lithuania,Central and Eastern Europe,42,6.149000168,1.238000035,0.818000019,0.291000009,0.041999999,0.043000001,1.514999986
Colombia,Latin America and Caribbean,43,6.125,0.985000014,0.841000021,0.469999999,0.034000002,0.098999999,1.409999967
Slovenia,Central and Eastern Europe,44,6.118000031,1.258000016,0.953000009,0.56400001,0.057,0.143999994,1.523000002
Nicaragua,Latin America and Caribbean,45,6.105000019,0.694000006,0.834999979,0.435000002,0.127000004,0.200000003,1.325000048
Kosovo,Central and Eastern Europe,46,6.099999905,0.882000029,0.758000016,0.488999993,0.006,0.261999995,1.231999993
Argentina,Latin America and Caribbean,47,6.085999966,1.092000008,0.880999982,0.470999986,0.050000001,0.066,1.432000041
Romania,Central and Eastern Europe,48,6.070000172,1.161999941,0.824999988,0.462000012,0.005,0.082999997,1.231999993
Cyprus,Western Europe,49,6.046000004,1.263000011,1.042000055,0.405999988,0.041000001,0.189999998,1.22300005
Ecuador,Latin America and Caribbean,50,6.027999878,0.912,0.867999971,0.497999996,0.086999997,0.126000002,1.312000036
Kuwait,Middle East and Northern Africa,51,6.020999908,1.5,0.808000028,0.493000001,0.097000003,0.142000005,1.319000006
Thailand,Southeastern Asia,52,6.007999897,1.049999952,0.828000009,0.556999981,0.028000001,0.358999997,1.409000039
Latvia,Central and Eastern Europe,53,5.940000057,1.187000036,0.811999977,0.263999999,0.064000003,0.075000003,1.465000033
South Korea,Eastern Asia,54,5.894999981,1.300999999,1.036000013,0.158999994,0.056000002,0.174999997,1.218999982
Estonia,Central and Eastern Europe,55,5.893000126,1.236999989,0.874000013,0.495000005,0.160999998,0.103,1.527999997
Jamaica,Latin America and Caribbean,56,5.889999866,0.83099997,0.83099997,0.49000001,0.028000001,0.107000001,1.478000045
Mauritius,Sub-Saharan Africa,57,5.888000011,1.120000005,0.797999978,0.497999996,0.059999999,0.215000004,1.40199995
Japan,Eastern Asia,58,5.886000156,1.327000022,1.088000059,0.444999993,0.140000001,0.068999998,1.41900003
Honduras,Latin America and Caribbean,59,5.860000134,0.64200002,0.828000009,0.507000029,0.078000002,0.246000007,1.235999942
Kazakhstan,Central and Eastern Europe,60,5.809000015,1.172999978,0.728999972,0.409999996,0.096000001,0.145999998,1.508000016
Bolivia,Latin America and Caribbean,61,5.778999805,0.776000023,0.70599997,0.510999978,0.064000003,0.136999995,1.208999991
Hungary,Central and Eastern Europe,62,5.757999897,1.200999975,0.828000009,0.199000001,0.02,0.081,1.409999967
Paraguay,Latin America and Caribbean,63,5.743000031,0.855000019,0.77700001,0.513999999,0.079999998,0.184,1.475000024
Northern Cyprus,UNKNOWN,64,5.717999935,1.263000011,1.042000055,0.416999996,0.162,0.191,1.251999974
Peru,Latin America and Caribbean,65,5.697000027,0.959999979,0.853999972,0.455000013,0.027000001,0.082999997,1.274000049
Portugal,Western Europe,66,5.69299984,1.220999956,0.999000013,0.508000016,0.025,0.046999998,1.430999994
Pakistan,Southern Asia,67,5.652999878,0.676999986,0.535000026,0.312999994,0.097999997,0.219999999,0.885999978
Russia,Central and Eastern Europe,68,5.647999763,1.182999969,0.726000011,0.333999991,0.030999999,0.082000002,1.452000022
Philippines,Southeastern Asia,69,5.631000042,0.806999981,0.657000005,0.558000028,0.107000001,0.116999999,1.292999983
Serbia,Central and Eastern Europe,70,5.603000164,1.003999949,0.853999972,0.282000005,0.039000001,0.136999995,1.383000016
Moldova,Central and Eastern Europe,71,5.528999805,0.685000002,0.739000022,0.245000005,0,0.180999994,1.327999949
